Month Name,Agency,Description,Borough,# of Incidents,Response Times
2016 / 02,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Manhattan,962,420.91
2016 / 02,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Queens,1102,464.41
2016 / 02,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Staten Island,282,435.76
2016 / 02,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Unspecified,4,805.50
2016 / 02,EMS,Average response time to life threatening medical emergencies by ambulance units,Bronx,18872,555.66
2016 / 02,EMS,Average response time to life threatening medical emergencies by ambulance units,Brooklyn,22186,535.78
2016 / 02,EMS,Average response time to life threatening medical emergencies by ambulance units,Manhattan,17170,525.90
2016 / 02,EMS,Average response time to life threatening medical emergencies by ambulance units,Queens,14826,577.51
2016 / 02,EMS,Average response time to life threatening medical emergencies by ambulance units,Staten Island,3534,530.24
2016 / 02,EMS,Average response time to life threatening medical emergencies by ambulance units,Unspecified,20,599.00
2016 / 02,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Bronx,43752,670.50
2016 / 02,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Brooklyn,52400,644.44
2015 / 12,FDNY,Average response time to non-structural fires,Manhattan,276,358.98
2016 / 02,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Manhattan,40978,657.13
2016 / 02,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Queens,34014,651.90
2016 / 02,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Staten Island,7342,572.12
2016 / 02,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Unspecified,68,865.09
2016 / 02,FDNY,Average response time to life threatening medical emergencies by fire units,Bronx,4266,473.43
2016 / 02,FDNY,Average response time to life threatening medical emergencies by fire units,Brooklyn,6914,409.98
2016 / 02,FDNY,Average response time to life threatening medical emergencies by fire units,Manhattan,4558,473.14
2016 / 02,FDNY,Average response time to life threatening medical emergencies by fire units,Queens,4692,456.81
2016 / 02,FDNY,Average response time to life threatening medical emergencies by fire units,Staten Island,1140,431.15
2016 / 02,FDNY,Average response time to life threatening medical emergencies by fire units,Unspecified,4,814.00
2016 / 02,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Bronx,19922,525.25
2016 / 02,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Brooklyn,23906,479.97
2016 / 02,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Manhattan,18588,491.70
2016 / 02,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Queens,15934,515.30
2016 / 02,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Staten Island,3770,477.07
2016 / 02,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Unspecified,22,586.64
2016 / 02,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Bronx,13398,53.23
2016 / 02,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Brooklyn,15498,57.92
2016 / 02,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Manhattan,12284,65.34
2016 / 02,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Queens,10222,47.23
2016 / 02,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Staten Island,2446,57.40
2016 / 02,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Unspecified,16,37.50
2016 / 02,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Bronx,890,48.99
2016 / 02,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Brooklyn,1570,67.90
2016 / 02,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Manhattan,1032,46.71
2016 / 02,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Queens,1010,42.38
2016 / 02,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Staten Island,174,48.28
2016 / 02,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Bronx,890,49.89
2016 / 02,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Brooklyn,1570,30.57
2016 / 02,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Manhattan,1032,51.94
2016 / 02,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Queens,1010,56.24
2016 / 02,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Staten Island,174,49.43
2016 / 02,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Bronx,890,1.12
2016 / 02,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Brooklyn,1570,1.15
2016 / 02,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Manhattan,1032,1.16
2016 / 02,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Queens,1010,0.79
2016 / 02,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Staten Island,174,1.15
2016 / 02,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Bronx,890,0.00
2016 / 02,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Brooklyn,1570,0.38
2016 / 02,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Manhattan,1032,0.19
2016 / 02,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Queens,1010,0.59
2016 / 02,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Staten Island,174,1.15
2016 / 01,FDNY,Average response time to structural fires,Bronx,688,300.67
2016 / 01,FDNY,Average response time to structural fires,Brooklyn,926,265.54
2016 / 01,FDNY,Average response time to structural fires,Manhattan,678,300.63
2016 / 01,FDNY,Average response time to structural fires,Queens,484,323.91
2016 / 01,FDNY,Average response time to structural fires,Staten Island,120,326.02
2016 / 01,FDNY,Average response time to non-structural fires,Bronx,290,377.75
2016 / 01,FDNY,Average response time to non-structural fires,Brooklyn,1000,363.27
2016 / 01,FDNY,Average response time to non-structural fires,Manhattan,544,393.97
2016 / 01,FDNY,Average response time to non-structural fires,Queens,742,403.42
2016 / 01,FDNY,Average response time to non-structural fires,Staten Island,48,373.08
2016 / 01,FDNY,Average response time to non-fire emergencies,Bronx,11574,536.30
2016 / 01,FDNY,Average response time to non-fire emergencies,Brooklyn,16640,453.84
2016 / 01,FDNY,Average response time to non-fire emergencies,Manhattan,12286,493.42
2016 / 01,FDNY,Average response time to non-fire emergencies,Queens,11302,544.31
2016 / 01,FDNY,Average response time to non-fire emergencies,Staten Island,2830,494.68
2016 / 01,FDNY,Average response time to non-fire emergencies,Unspecified,10,780.60
2016 / 01,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Bronx,988,432.65
2016 / 01,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Brooklyn,1442,451.75
2016 / 01,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Manhattan,1010,415.84
2016 / 01,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Queens,1182,514.70
2016 / 01,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Staten Island,292,466.42
2016 / 01,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Unspecified,2,687.00
2016 / 01,EMS,Average response time to life threatening medical emergencies by ambulance units,Bronx,19916,582.98
2016 / 01,EMS,Average response time to life threatening medical emergencies by ambulance units,Brooklyn,22912,560.36
2016 / 01,EMS,Average response time to life threatening medical emergencies by ambulance units,Manhattan,18194,536.94
2016 / 01,EMS,Average response time to life threatening medical emergencies by ambulance units,Queens,16096,625.94
2016 / 01,EMS,Average response time to life threatening medical emergencies by ambulance units,Staten Island,3732,535.71
2016 / 01,EMS,Average response time to life threatening medical emergencies by ambulance units,Unspecified,22,786.27
2016 / 01,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Bronx,46872,714.33
2016 / 01,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Brooklyn,54414,685.50
2016 / 01,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Manhattan,43416,692.23
2016 / 01,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Queens,36340,749.57
2016 / 01,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Staten Island,7968,602.24
2016 / 01,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Unspecified,76,888.84
2016 / 01,FDNY,Average response time to life threatening medical emergencies by fire units,Bronx,4750,503.42
2016 / 01,FDNY,Average response time to life threatening medical emergencies by fire units,Brooklyn,7166,427.46
2016 / 01,FDNY,Average response time to life threatening medical emergencies by fire units,Manhattan,4910,471.88
2016 / 01,FDNY,Average response time to life threatening medical emergencies by fire units,Queens,5372,481.59
2016 / 01,FDNY,Average response time to life threatening medical emergencies by fire units,Staten Island,1278,436.21
2016 / 01,FDNY,Average response time to life threatening medical emergencies by fire units,Unspecified,6,767.33
2016 / 01,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Bronx,21076,548.73
2016 / 01,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Brooklyn,24710,503.37
2016 / 01,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Manhattan,19628,504.68
2016 / 01,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Queens,17306,556.95
2016 / 01,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Staten Island,4004,481.51
2016 / 01,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Unspecified,22,758.64
2016 / 01,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Bronx,13870,52.33
2016 / 01,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Brooklyn,15800,55.32
2016 / 01,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Manhattan,12760,65.20
2016 / 01,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Queens,10660,44.45
2016 / 01,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Staten Island,2502,56.35
2016 / 01,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Unspecified,14,28.57
2016 / 01,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Bronx,978,46.33
2016 / 01,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Brooklyn,1926,59.50
2016 / 01,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Manhattan,1222,39.77
2016 / 01,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Queens,1226,30.51
2016 / 01,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Staten Island,168,47.62
2016 / 01,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Bronx,978,51.63
2016 / 01,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Brooklyn,1926,38.63
2016 / 01,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Manhattan,1222,57.12
2016 / 01,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Queens,1226,66.07
2016 / 01,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Staten Island,168,50.00
2016 / 01,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Bronx,978,1.84
2016 / 01,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Brooklyn,1926,1.45
2016 / 01,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Manhattan,1222,2.62
2016 / 01,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Queens,1226,2.94
2016 / 01,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Staten Island,168,1.19
2016 / 01,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Bronx,978,0.20
2016 / 01,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Brooklyn,1926,0.42
2016 / 01,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Manhattan,1222,0.49
2016 / 01,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Queens,1226,0.49
2016 / 01,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Staten Island,168,1.19
2015 / 12,FDNY,Average response time to structural fires,Bronx,744,320.73
2015 / 12,FDNY,Average response time to structural fires,Brooklyn,908,274.75
2015 / 12,FDNY,Average response time to structural fires,Manhattan,630,313.63
2015 / 12,FDNY,Average response time to structural fires,Queens,498,326.83
2015 / 12,FDNY,Average response time to structural fires,Staten Island,122,337.34
2015 / 12,FDNY,Average response time to non-structural fires,Bronx,206,373.21
2015 / 12,FDNY,Average response time to non-structural fires,Brooklyn,382,347.84
2015 / 12,FDNY,Average response time to non-structural fires,Queens,370,373.95
2015 / 12,FDNY,Average response time to non-structural fires,Staten Island,76,351.95
2015 / 12,FDNY,Average response time to non-fire emergencies,Bronx,10984,515.42
2015 / 12,FDNY,Average response time to non-fire emergencies,Brooklyn,16186,454.43
2015 / 12,FDNY,Average response time to non-fire emergencies,Manhattan,12586,498.88
2015 / 12,FDNY,Average response time to non-fire emergencies,Queens,10886,528.26
2015 / 12,FDNY,Average response time to non-fire emergencies,Staten Island,2682,486.71
2015 / 12,FDNY,Average response time to non-fire emergencies,Unspecified,20,605.40
2015 / 12,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Bronx,1038,433.47
2015 / 12,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Brooklyn,1508,455.87
2015 / 12,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Manhattan,960,439.34
2015 / 12,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Queens,1092,490.45
2015 / 12,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Staten Island,298,447.42
2015 / 12,EMS,Average response time to life threatening medical emergencies by ambulance units,Bronx,19584,547.53
2015 / 12,EMS,Average response time to life threatening medical emergencies by ambulance units,Brooklyn,23518,544.37
2015 / 12,EMS,Average response time to life threatening medical emergencies by ambulance units,Manhattan,19266,539.55
2015 / 12,EMS,Average response time to life threatening medical emergencies by ambulance units,Queens,16160,596.67
2015 / 12,EMS,Average response time to life threatening medical emergencies by ambulance units,Staten Island,3896,540.88
2015 / 12,EMS,Average response time to life threatening medical emergencies by ambulance units,Unspecified,26,731.77
2015 / 12,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Bronx,45260,635.01
2015 / 12,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Brooklyn,55074,650.21
2015 / 12,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Manhattan,44514,689.93
2015 / 12,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Queens,36670,668.95
2015 / 12,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Staten Island,8158,609.65
2015 / 12,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Unspecified,98,869.00
2015 / 12,FDNY,Average response time to life threatening medical emergencies by fire units,Bronx,4592,484.51
2015 / 12,FDNY,Average response time to life threatening medical emergencies by fire units,Brooklyn,7784,431.90
2015 / 12,FDNY,Average response time to life threatening medical emergencies by fire units,Manhattan,5578,482.13
2015 / 12,FDNY,Average response time to life threatening medical emergencies by fire units,Queens,5430,460.43
2015 / 12,FDNY,Average response time to life threatening medical emergencies by fire units,Staten Island,1328,460.33
2015 / 12,FDNY,Average response time to life threatening medical emergencies by fire units,Unspecified,10,758.00
2015 / 12,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Bronx,20490,514.76
2015 / 12,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Brooklyn,25040,483.88
2015 / 12,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Manhattan,20692,508.00
2015 / 12,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Queens,17230,526.98
2015 / 12,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Staten Island,4154,485.97
2015 / 12,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Unspecified,28,708.21
2015 / 12,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Bronx,13680,55.77
2015 / 12,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Brooklyn,16026,57.24
2015 / 12,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Manhattan,13382,63.07
2015 / 08,FDNY,Average response time to structural fires,Bronx,580,321.53
2015 / 12,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Queens,10752,45.92
2015 / 12,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Staten Island,2664,56.53
2015 / 12,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Unspecified,14,28.57
2015 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Bronx,950,43.16
2015 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Brooklyn,1290,62.48
2015 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Manhattan,906,42.16
2015 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Queens,868,39.86
2015 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Staten Island,198,38.38
2015 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Bronx,950,54.53
2015 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Brooklyn,1290,35.81
2015 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Manhattan,906,57.17
2015 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Queens,868,56.22
2015 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Staten Island,198,60.61
2015 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Bronx,950,2.32
2015 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Brooklyn,1290,1.40
2015 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Manhattan,906,0.66
2015 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Queens,868,3.69
2015 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Staten Island,198,1.01
2015 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Bronx,950,0.00
2015 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Brooklyn,1290,0.31
2015 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Manhattan,906,0.00
2015 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Queens,868,0.23
2015 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Staten Island,198,0.00
2015 / 11,FDNY,Average response time to structural fires,Bronx,678,356.17
2015 / 11,FDNY,Average response time to structural fires,Brooklyn,860,271.26
2015 / 11,FDNY,Average response time to structural fires,Manhattan,598,314.18
2015 / 11,FDNY,Average response time to structural fires,Queens,504,339.37
2015 / 11,FDNY,Average response time to structural fires,Staten Island,140,306.73
2015 / 11,FDNY,Average response time to non-structural fires,Bronx,226,399.67
2015 / 11,FDNY,Average response time to non-structural fires,Brooklyn,444,332.54
2015 / 11,FDNY,Average response time to non-structural fires,Manhattan,330,381.15
2015 / 11,FDNY,Average response time to non-structural fires,Queens,380,377.43
2015 / 11,FDNY,Average response time to non-structural fires,Staten Island,118,400.39
2015 / 11,FDNY,Average response time to non-structural fires,Unspecified,2,1751.00
2015 / 11,FDNY,Average response time to non-fire emergencies,Bronx,10524,521.45
2015 / 11,FDNY,Average response time to non-fire emergencies,Brooklyn,16046,452.39
2015 / 11,FDNY,Average response time to non-fire emergencies,Manhattan,12372,496.06
2015 / 11,FDNY,Average response time to non-fire emergencies,Queens,10382,518.40
2015 / 11,FDNY,Average response time to non-fire emergencies,Staten Island,2484,492.60
2015 / 11,FDNY,Average response time to non-fire emergencies,Unspecified,18,569.56
2015 / 11,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Bronx,1062,421.70
2015 / 11,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Brooklyn,1446,438.45
2015 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Staten Island,258,39.53
2015 / 11,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Manhattan,986,433.92
2015 / 11,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Queens,1086,472.73
2015 / 11,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Staten Island,254,459.25
2015 / 11,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Unspecified,2,403.00
2015 / 11,EMS,Average response time to life threatening medical emergencies by ambulance units,Bronx,18290,542.10
2015 / 11,EMS,Average response time to life threatening medical emergencies by ambulance units,Brooklyn,22900,533.64
2015 / 11,EMS,Average response time to life threatening medical emergencies by ambulance units,Manhattan,19056,540.47
2015 / 11,EMS,Average response time to life threatening medical emergencies by ambulance units,Queens,15114,577.62
2015 / 11,EMS,Average response time to life threatening medical emergencies by ambulance units,Staten Island,3340,524.90
2015 / 11,EMS,Average response time to life threatening medical emergencies by ambulance units,Unspecified,36,558.44
2015 / 11,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Bronx,43322,643.08
2015 / 11,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Brooklyn,53754,637.06
2015 / 11,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Manhattan,43638,721.44
2015 / 11,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Queens,34396,650.37
2015 / 11,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Staten Island,7316,583.00
2015 / 11,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Unspecified,94,771.81
2015 / 11,FDNY,Average response time to life threatening medical emergencies by fire units,Bronx,4512,487.12
2015 / 11,FDNY,Average response time to life threatening medical emergencies by fire units,Brooklyn,7416,432.81
2015 / 11,FDNY,Average response time to life threatening medical emergencies by fire units,Manhattan,5318,489.62
2015 / 11,FDNY,Average response time to life threatening medical emergencies by fire units,Queens,5124,458.95
2015 / 11,FDNY,Average response time to life threatening medical emergencies by fire units,Staten Island,1138,447.46
2015 / 11,FDNY,Average response time to life threatening medical emergencies by fire units,Unspecified,16,476.88
2015 / 11,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Bronx,19226,507.45
2015 / 11,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Brooklyn,24424,476.40
2015 / 11,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Manhattan,20468,505.49
2015 / 11,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Queens,16092,511.75
2015 / 11,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Staten Island,3584,471.84
2015 / 11,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Unspecified,36,492.78
2015 / 11,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Bronx,12840,58.32
2015 / 11,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Brooklyn,15556,58.90
2015 / 11,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Manhattan,13350,62.76
2015 / 11,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Queens,10258,47.03
2015 / 11,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Staten Island,2270,56.65
2015 / 11,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Unspecified,8,75.00
2015 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Bronx,904,40.04
2015 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Brooklyn,1304,65.49
2015 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Manhattan,928,40.95
2015 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Queens,884,38.91
2015 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Unspecified,2,0.00
2015 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Bronx,904,56.86
2015 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Brooklyn,1304,32.98
2015 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Manhattan,928,56.25
2015 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Queens,884,57.01
2015 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Staten Island,258,57.36
2015 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Unspecified,2,0.00
2015 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Bronx,904,1.99
2015 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Brooklyn,1304,1.23
2015 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Manhattan,928,2.59
2015 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Queens,884,3.62
2015 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Staten Island,258,3.10
2015 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Unspecified,2,0.00
